cleaned_text,compound_score,predictedSentiment_vaders,predictedSentiment_naiveBayes,predictedEmotion_nb,predictedSentiment_svm,predictedEmotion_svm
srilanka change demography north east appeasement politics hope eam govt monitoring indoianalytics rajagopalan1951 sreeiyer1 annamalaik srilankacrisis,0.4877,1,0.0,3,0.0,0
cartoon awanthaartigala lka srilanka economiccrisislk srilankacrisis srilankaprotests aragalaya,0.0,0,0.0,1,0.0,4
theislandlk cartoon jeffrey lka srilanka economiccrisislk srilankacrisis srilankaprotests aragalaya npp,0.0,0,-1.0,1,0.0,4
sri lanka police fire tear gas water cannons poll postponement srilanka srilankacrisis,-0.34,-1,0.0,3,0.0,3
’ happening soe restructuring front anyway ’ update far soereforms reformnow srilankaprotests economiccrisislk srilankacrisis srilanka,0.0,0,1.0,1,1.0,3
us waiting still waiting waiting little muchneeded state owned enterprise restructuring say aye relate srilankaeconomiccrisis economiccrisislanka economiccrisislk srilankacrisis soereforms reformnow restructuring,0.0,0,-1.0,0,-1.0,3
cartoon namalamarasing lka srilanka economiccrisislk srilankacrisis srilankaprotests aragalaya imflk,0.0,0,0.0,1,0.0,4
tokyo cement group sri lankan police department join forces greener future read newscutterlksrilankanews… srilankatoday srilankadaily slnews srilanka lka srilankacrisis srilankanewstoday,0.296,1,0.0,4,0.0,3
sl tea industry fully recover next year read newscutterlksrilankanews… srilankadaily srilankatoday srilanka slnews srilankacrisis srilankanewstoday srilankaeconomiccrisis lka,0.0,0,0.0,1,0.0,3
first stock imported eggs reach sl today read newscutterlksrilankanews… srilankatoday srilankadaily slnews srilankacrisis lka srilanka srilankanewstoday srilankaeconomiccrisis,0.0258,1,1.0,3,0.0,3
avocado propagation 200 acres badulla district read newscutterlksrilankanews… lka srilankaeconomiccrisis srilankacrisis srilanka slnews srilankadaily srilankatoday srilankanewstoday,0.0,0,0.0,1,0.0,3
professor shantha devarajan explains sri lanka may able access imfs eff without chinas financing assurances srilankaeconomiccrisis srilankaprotests srilankacrisis economiccrisislk,-0.2584,-1,1.0,1,1.0,3
professor shantha devarajan views catch full qa sundaytimeslk230226column… srilankacrisis srilankaeconomiccrisis economiccrisislk srilanka politicslk,0.0,0,-1.0,3,0.0,3
රටම දිනන රටේ හයිය මාලිමාව 26 කොළඹ විරෝධය townhall cmb 20230227 lka srilanka kalutara panadura srilankacrisis wewantelection npp පන්නමු හදමු මගේරට thistimewearefornpp මේපාරමාලිමාවට chandimahettiaratchi,0.0,0,0.0,1,0.0,3
❓this question financing assurances ’ professor shantha devarajan explaining possible scenarios quick qa sunday times broken piece economiccrisislk srilankacrisis srilanka,-0.1779,-1,-1.0,5,1.0,3
president urges young lawyers lead new legal developments port city read newscutterlksrilankanews… slnews srilankatoday srilanka lka srilankaeconomiccrisis srilankadaily srilankacrisis srilankanewstoday,0.128,1,1.0,5,1.0,3
ending fuel qr system read newscutterlksrilankanews… srilankadaily srilankatoday srilankacrisis srilankanewstoday slnews srilanka lka,0.0,0,0.0,3,0.0,3
childrens home wardens husband arrested sexual abuse charges read newscutterlksrilankanews… srilankadaily srilankacrisis slnews srilanka lka srilankatoday srilankanewstoday srilankaeconomiccrisis,-0.8555,-1,0.0,3,1.0,3
mainly fair weather prevail island read newscutterlksrilankanews… lka srilankaeconomiccrisis srilankaprotests srilanka slnews srilankatoday srilankacrisis srilankadaily srilankanewstoday,0.3182,1,1.0,1,1.0,3
latest update cse share price index like subscribe youtube channel financial instruments updates thanks invidiouspoastorgwyjv7urr58a colombo srilanka srilankacrisis stocks stockstobuy colombostockexchange colombostockmarket colombosharemarket cse,0.784,1,1.0,2,1.0,4
government country supports violence terrorism goes bankrupt let terrorism communalism race lankan tamil singal pakistaneconomiccrisis srilankacrisis worried country next let government perform show,0.3058,1,1.0,3,1.0,4
unitednations unhcr humanrights imf srilanka srilankacrisis localgovelsl,0.0,0,0.0,1,0.0,3
anuradisanayake another gotabayar srilanka srilankacrisis,0.0,0,0.0,1,0.0,3
श्रीलंका में स्थानीय चुनाव में देरी को लेकर विपक्षी दलों ने निकाली रैली पुलिस ने दागे आंसू गैस के गोले dailyhunt news srilankacrisis dhuntinjwvsy,0.0,0,0.0,0,0.0,3
karannagoda committee recommends cid probe gen shavendra silva read owlyfuml50n31gt lka srilanka protestlk politicslk aragalaya srilankacrisis,0.2263,1,0.0,1,0.0,3
මැතිවරණ කල්දැමීමට දරාගත නොහැකි බදුවලට නොවිසඳුණු වැටුප් විෂමතාවලට එරෙහිව සහ ප්‍රවාහන දීමනාවක් ඉල්ලා ගුරුවිදුහල්පති වෘත්තීය සමිති සන්ධානය මාර්තු 01 කළු දිනයක් ලෙස ප්‍රකාශයට පත් කරයි srilankaprotests srilankacrisis srilanka news tradeunion,0.0,0,0.0,0,0.0,3
passively accept militarizationsecuritization essential governance orderliness part island sort overt threat violence indeed violence becomes normalised conveniently rationalised state srilankacrisis,-0.9059,-1,1.0,3,-1.0,1
crazy rw already lost 20230226 cmb lka srilanka kalutara panadura srilankacrisis wewantelection npp පන්නමු හදමු මගේරට thistimewearefornpp මේපාරමාලිමාවට chandimahettiaratchi,-0.5719,-1,-1.0,0,0.0,3
’ afford ad hoc payments need reserves imf deal ’ come – president read owlywfb750n2wei lka srilanka imf finance imfbailout srilankacrisis ranil,0.0,0,0.0,3,0.0,3
call 071 939 9999 register receive electronic bills us means resources access electronic service let ’ contribute support nwsdb help achieve outcome srilanka srilankacrisis,0.69,1,1.0,1,1.0,2
श्रीलंका क्रिकेट को आपातकाल के बीच हुई अबतक की सबसे रिकॉर्ड तोड़ कमाई जानें आंकड़े hindioneindiacomvideosas… srilankacricket srilankacrisis,0.0,0,1.0,1,0.0,3
‘ karannagoda report ’ may 9 violence recommends probe general shavendra silva ’ conduct full story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis powercutlk srilankaprotests aragalaya,-0.4939,-1,1.0,3,1.0,3
‘ karannagoda report ’ may 9 violence recommends probe general shavendra silva ’ conduct full story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis powercutlk srilankaprotests aragalaya,-0.4939,-1,1.0,3,1.0,3
පොහොට්ටුවාදීන්ට පුළුවන් චම්පික වැරදි නම් පිළිතුරු දෙන්න දෙන්න උත්තර නැත්නම් බයිසිකල් ඇක්සිඩන්ට් එකක් ගැන කියල ශේප් වෙන්නත් පුළුවන් srilanka srilankaeconomiccrisis srilankacrisis invidiouspoastorguns90x5fk0a,0.0,0,0.0,1,0.0,3
iusf iubf makes news ’ latest development thoughts watch invidiouspoastorgoxivtapxbly srilankaprotests srilankacrisis srilanka lawandorder iusf iubf,0.0,0,1.0,1,1.0,3
මාර්තුවේ imf සල්ලි නොලැබුණොත් මුදල් සංචිතයක් – ජනපති lka srilanka news crisislk srilankacrisis imf cashreserve rwunp imfnews bitly3eczehl,0.0,0,0.0,0,0.0,3
imf urges timely orderly debt resolution sri lanka amid economic crisis details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.765,-1,1.0,5,1.0,3
imf urges timely orderly debt resolution sri lanka amid economic crisis details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.765,-1,1.0,5,1.0,3
may 9 violence inquiry panel calls action army commander lka srilanka srilankacrisis srilankaeconomiccrisis srilankaprotests aragalaya army srilankaarmy silvashavendra wasanthakarannagoda srilankamirrorcomnewsmay…,-0.6249,-1,-1.0,1,1.0,3
also know japan extended similar humanitarian grant assistance amounting usd 104 million year 2022 extremely grateful japan economiccrisislk srilanka srilankacrisis srilankajapanrelations politicslk,0.6997,1,1.0,5,-1.0,3
இலங்கை உள்ளாட்சித் தேர்தல் ஒத்திவைப்பு அந்நியச் செலாவணி கையிருப்பு பாதாளத்தை எட்டியதால் முடிவு tamilasianetnewscomworld… srilanka srilankacrisis,0.0,0,0.0,1,0.0,3
bjp ’ annamalai gains ground tamil nadu pushing closer influence sri lanka details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.34,1,1.0,4,0.0,3
bjp ’ annamalai gains ground tamil nadu pushing closer influence sri lanka details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.34,1,1.0,4,0.0,3
us china discuss debt relief including sri lanka sidelines g20 meet details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.1531,1,1.0,5,0.0,3
us china discuss debt relief including sri lanka sidelines g20 meet details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.1531,1,1.0,5,0.0,3
senior world bank official sri lanka details newscutterlkhealthsenior… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.0,0,1.0,5,1.0,3
senior world bank official sri lanka details newscutterlkhealthsenior… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.0,0,1.0,5,1.0,3
bailout srilankacrisis end qs imprison convicted guilty got acquitted give 24 hour grace politicos account return 50 loot 1s buy island full throw biggest party ever 22 mn people dancing drunk n high nobody knows fkn,0.2263,1,1.0,0,1.0,4
assume mercifully missed colombo ’ ‘ stability ’ acrobatics rationalise move glad ’ apparently democracy something srilankacrisis,0.6907,1,1.0,0,1.0,1
இலங்கையில் மார்ச் 9ம் தேதி உள்ளாட்சி தேர்தல் நடைபெறாது தேர்தல் ஆணையம் அதிகாரப்பூர்வ அறிவிப்பு maalaimalarcomnewsworlda… srilankacrisis srilankalocalbodyelections maalaimalar,0.0,0,1.0,1,0.0,3
sri lanka urges diplomacy lasting peace ukraine un general assembly full story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.5423,1,1.0,1,1.0,3
sri lanka urges diplomacy lasting peace ukraine un general assembly full story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.5423,1,1.0,1,1.0,3
govt allocates rs56 bn provide relief farmers read newscutterlksrilankanews… srilankadaily srilankatoday slnews lka srilankacrisis srilankaprotests srilankanewstoday srilankaeconomiccrisis,0.4767,1,1.0,1,0.0,3
police arrested two people possession illegally imported pesticides read newscutterlksrilankanews… srilankadaily srilankatoday slnews srilankacrisis srilankanewstoday lka srilankaeconomiccrisis,-0.4767,-1,-1.0,0,0.0,3
sri lanka continues experience concerning levels food insecurity wfp read newscutterlksrilankanews… slnews srilankatoday srilankacrisis lka srilankanewstoday srilankaeconomiccrisis srilankadaily,-0.4215,-1,1.0,1,0.0,3
මැතිවරණය කල් දැමීමේ කුමන්ත්‍රණයට එරෙහිව විරෝධය කොළඹට 20230224 cmb lka srilanka kalutara panadura srilankacrisis wewantelection npp පන්නමු හදමු මගේරට thistimewearefornpp මේපාරමාලිමාවට chandimahettiaratchi,0.0,0,0.0,1,0.0,3
breakingnews local government election postponed new date announced march 3 – ec details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.2023,-1,1.0,5,1.0,1
breakingnews local government election postponed new date announced march 3 – ec details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.2023,-1,1.0,5,1.0,1
✅ ncpi rebased ✅ jan national inflation yoy growth 532 srilankainflation srilankaeconomiccrisis srilankacrisis politicslk,0.3818,1,-1.0,1,0.0,3
relief judges court extends interim order taxation till march 1 details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.5574,1,0.0,5,0.0,3
relief judges court extends interim order taxation till march 1 details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,0.5574,1,0.0,5,0.0,3
printing school textbooks cost four times higher previous years read newscutterlksrilankanews… srilankatoday slnews srilankadaily srilankanewstoday srilankaeconomiccrisis srilankacrisis lka,0.0,0,1.0,1,1.0,3
hrcsl investigate prevailing medicine scarcity read newscutterlksrilankanews… srilankadaily srilankacrisis srilankatoday slnews lka srilankanewstoday srilankaeconomiccrisis,0.0,0,0.0,3,0.0,3
election commission decide date 2023 lg polls read newscutterlksrilankanews… srilankatoday srilankadaily srilankacrisis slnews lka srilankaprotests srilankanewstoday srilankaeconomiccrisis,0.0,0,0.0,1,0.0,3
india sri lana increase complexity bilateral exercises read newscutterlksrilankanews… srilankatoday srilankadaily slnews lka srilankacrisis srilankanewstoday srilankaeconomiccrisis,0.3182,1,1.0,1,0.0,3
navy nabs 15 persons illegal fishing northern waters read newscutterlksrilankanews… srilankatoday srilankadaily slnews lka srilankanewstoday srilankaeconomiccrisis srilankacrisis,-0.5574,-1,1.0,5,-1.0,3
school uniform material distributed among provincial zonal schools read newscutterlksrilankanews… srilankadaily slnews lka srilankacrisis srilankanewstoday srilankatoday srilankaeconomiccrisis,0.0,0,1.0,1,0.0,3
several spells showers expected eastern uva provinces read newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankanewstoday srilankadaily srilankaeconomiccrisis,0.0,0,-1.0,1,1.0,3
sri lanka ’ abstention ukraine war resolution un general assembly draws criticism full story newscutterlkworldsrilank… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.7783,-1,1.0,3,1.0,3
sri lanka ’ abstention ukraine war resolution un general assembly draws criticism full story newscutterlkworldsrilank… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.7783,-1,1.0,3,1.0,3
wasantha mudalige ’ life danger–attynuwan bopage full story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis powercutlk srilankaprotests aragalaya,0.0,0,1.0,1,0.0,3
wasantha mudalige ’ life danger–attynuwan bopage full story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis powercutlk srilankaprotests aragalaya,0.0,0,1.0,1,0.0,3
clean important communityvalue refreshsrilanka lmd politicslk citizeneducation srilanka srilankapolitics srilankacrisis lmdmedia invidiouspoastorgbiihwzapgnk,0.5849,1,1.0,1,1.0,3
also revisited staff level agreement recollect key elements program link check imforgennewsarticles202… srilankacrisis srilankapolitics srilanka economiccrisislk,0.4939,1,0.0,1,0.0,3
’ details thoughts shared president rwunp topic economiccrisislk srilankacrisis srilankapolitics politicslk imf,0.34,1,0.0,1,1.0,4
gohomeranil gohomerajapaksas gotohellmahinda ranilgohome gohomeranil2022 gohome225 srilanka lka srilankacrisis srilankaeconomiccrisis,0.0,0,0.0,1,0.0,3
wasantha mudalige arrested read newscutterlksrilankanews… srilankadaily srilankatoday srilankacrisis srilankanewstoday srilankaeconomiccrisis lka slnews,-0.5255,-1,0.0,1,0.0,3
air services agreement signed netherlands sl read newscutterlksrilankanews… srilankatoday srilankadaily srilankacrisis srilankanewstoday srilankaeconomiccrisis lka slnews,0.4939,1,0.0,3,0.0,3
sc postpones hearing writ petition seeking delaying local government elections read newscutterlksrilankanews… srilankadaily srilankatoday slnews srilankacrisis lka srilankanewstoday srilankaeconomiccrisis,-0.2732,-1,0.0,0,1.0,3
jaffna voter sends money orders election commission 2023 lg polls read newscutterlksrilankanews… srilankatoday srilankadaily srilankacrisis srilankanewstoday slnews lka srilankaeconomiccrisis,0.0,0,0.0,3,0.0,3
two injunction orders issued maithripala dayasiri read newscutterlksrilankanews… lka slnews srilankanewstoday srilankadaily srilankatoday srilankacrisis srilankaeconomiccrisis,0.0,0,0.0,1,0.0,3
copf chairmanship given unp ’ trojan horse exchairman harsha unhappy top story newscutterlkbreakingnews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.25,-1,1.0,0,-1.0,3
copf chairmanship given unp ’ trojan horse exchairman harsha unhappy top story newscutterlkbreakingnews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.25,-1,1.0,0,-1.0,3
sri lanka implement capital punishment read newscutterlksrilankanews… slnews srilankatoday lka srilankacrisis srilankanewstoday srilankaeconomiccrisis srilankadaily,0.3875,1,1.0,5,0.0,3
legal limbo local government election doubt president points quorum issues todays big story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.25,-1,1.0,5,1.0,4
legal limbo local government election doubt president points quorum issues todays big story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.25,-1,1.0,5,1.0,4
airman arrested stealing weapons ammunition ratmalana slaf base read newscutterlksrilankanews… srilankatoday srilankacrisis srilankanewstoday srilankadaily lka srilankaeconomiccrisis slnews,-0.8658,-1,-1.0,3,-1.0,3
illicit fags worth rs 487 mn seized customs read newscutterlksrilankanews… srilankatoday srilankadaily srilankacrisis srilankanewstoday srilankaeconomiccrisis lka slnews,0.2263,1,1.0,1,1.0,3
showers expected parts central sabaragamuwa provinces read newscutterlksrilankanews… slnews srilankatoday srilankacrisis lka srilankaeconomiccrisis srilankadaily srilankanewstoday,0.0,0,1.0,5,1.0,3
revisions tax policy despite strong opposition trade unions – minister full story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.5996,-1,1.0,2,1.0,1
revisions tax policy despite strong opposition trade unions – minister full story newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.5996,-1,1.0,2,1.0,1
srilanka mps taking cut allowances srilankacrisis srilankaeconomiccrisis ennewswavelk40982,-0.2732,-1,0.0,4,0.0,4
sri lanka crisis बढ़ते टैक्स के विरोध में उतरीं 40 ट्रेड यूनियन देशव्यापी हड़ताल की दी चेतावनी srilanka srilankacrisis amarujalacomworldsrilank…,-0.6249,-1,1.0,1,0.0,3
japan comes sri lanka ’ aid 46mn humanitarian assistance amidst economic crisis full story newscutterlkworldjapanco… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis japan katsukikotaro,-0.6249,-1,1.0,5,1.0,3
japan comes sri lanka ’ aid 46mn humanitarian assistance amidst economic crisis full story newscutterlkworldjapanco… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis japan,-0.6249,-1,1.0,5,1.0,3
police fire tear gas water cannons disperse iusf protest homagama full story visuals newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.5267,-1,-1.0,3,0.0,3
police fire tear gas water cannons disperse iusf protest homagama full story visuals newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.5267,-1,-1.0,3,0.0,3
decision maithripala ’ appeal compensation rs 100 mn postponed read newscutterlksrilankanews… srilankanewstoday srilankancrisis srilankacrisis srilankatoday economiccrisislk srilankaeconomiccrisis slnews lka,-0.2023,-1,0.0,1,0.0,3
another minor tremor felt near buttala read newscutterlksrilankanews… slnews srilankatoday srilankacrisis economiccrisislk srilankancrisis srilankanewstoday srilankaeconomiccrisis lka,0.0,0,1.0,1,-1.0,4
protest new tax policy ends court order issued full story visuals newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.25,-1,1.0,2,1.0,4
mud fertilizer given free farmers coming season read newscutterlksrilankanews… srilankacrisis srilankanewstoday srilankancrisis economiccrisislk srilankatoday slnews lka srilankaeconomiccrisis,0.5106,1,1.0,1,1.0,1
heavy traffic near fort railway station due protest read newscutterlksrilankanews… srilankacrisis srilankanewstoday srilankancrisis portcitycolombo slnews lka economiccrisislk srilankatoday,-0.25,-1,1.0,3,-1.0,3
want see parliament dissolved stage thoughts srilanka srilankacrisis srilankaprotests economiccrisislk srilankaparliament generalelectionslk,0.168,1,0.0,1,0.0,4
port trincomalee commences night operations help japan read newscutterlksrilankanews… srilankatoday srilankacrisis srilankancrisis slnews portcitycolombo economiccrisislk srilankaeconomiccrisis srilankanewstoday,0.4019,1,0.0,1,0.0,3
president rw shared thoughts regarding dissolution parliament parliamentlk members opposition also initiated process request dissolution parliament srilankaparliament srilankapolitics srilankacrisis,-0.2584,-1,0.0,4,1.0,3
five arrested breaking indian visa application centre read newscutterlksrilankanews… srilankatoday srilankacrisis slnews srilankancrisis lka srilankaeconomiccrisis economiccrisislk,-0.4767,-1,0.0,1,0.0,3
qr code would cancelled three four months — kanchana read newscutterlksrilankanews… srilankatoday srilankacrisis srilankancrisis economiccrisislk slnews lka srilankaeconomiccrisis,-0.25,-1,0.0,1,0.0,3
escaped criminal sl caught mandapam read newscutterlksrilankanews… srilankacrisis srilankatoday slnews lka srilankancrisis economiccrisislk srilankaeconomiccrisis,-0.5267,-1,-1.0,5,-1.0,3
mainly fair weather prevail island read newscutterlksrilankanews… srilankatoday srilankacrisis slnews lka srilankaeconomiccrisis economiccrisislk srilankancrisis,0.3182,1,1.0,1,1.0,3
regulations colombo port city act submitted parliament details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis colomboportcity portcitycolombo,0.0,0,1.0,5,1.0,3
regulations colombo port city act submitted parliament details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis colomboportcity portcitycolombo,0.0,0,1.0,5,1.0,3
sri lanka risk loosing gsp lg polls get postponed – kiriella details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.4404,-1,0.0,1,1.0,3
sri lanka risk loosing gsp lg polls get postponed – kiriella details newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis,-0.4404,-1,0.0,1,1.0,3
proposal restructure cbsl gets green light cabinet everything need know newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis imf,0.0,0,1.0,1,0.0,3
proposal restructure cbsl gets green light cabinet everything need know newscutterlksrilankanews… slnews lka srilankatoday srilankacrisis srilankaeconomiccrisis imf,0.0,0,1.0,1,0.0,3
pakistan spiralling economic crisis may concern india know pakistaneconomiccrisis pakistancrisis srilankacrisis economiccrisis ptcnewstvworldnewspaksp…,-0.6249,-1,1.0,1,1.0,3
follow turkeyearthquake2023 siriya directrelief always comes theres disaster relief valeriocnn medhelpinter coordinates directrelief send essential medicines countries like srilankaeconomicrisis srilankacrisis,0.128,1,1.0,1,-1.0,3
වැදගත් කතාවක් අහන්න හැමෝම srilanka srilankacrisis srilankan invidiouspoastorgkziswxoghq,0.0,0,0.0,1,0.0,3
oppose sri lankan government ’ moves block local elections mobilise workingclass defend democratic rights wswsorgenarticles202302… srilankaprotests srilankan srilanka srilankacrisis srilankaeconomiccrisis srilankaprotest srilankapresident,-0.5399,-1,0.0,2,1.0,3
වැටුණු ආර්ථිකය ගොඩගන්න තියෙන එකම ඉනිමග imf – ජනපති lka srilanka news economy srilankacrisis crisislk rwunp imfnews bitly3kijkso,0.0,0,0.0,1,0.0,3
13 නෙමෙයි හඳුන් ප්‍රශ්නේ ඉඩම් පොලිස් බලතල ලබා දීම 13 නිකන් ඉලක්කමක් විතරයි ඒ නිසා පැහැදිලිව කියන්න අනාගත ඔබලාගේ රජයක් යටතේ ඉඩම් පොලිස් බලතල ලබා නොදෙන වග npp2023 srilanka srilankacrisis,0.0,0,0.0,1,0.0,3
chinas portion 43 total bilateral debt 52 china srilanka srilankaeconomiccrisis srilankacrisis,-0.3612,-1,0.0,1,0.0,0
sl govt taken steps reclassify ’ top bilateral creditor china ’ debts ensure adequate assurances remainder majority creditors srilankaeconomiccrisis srilankadebt srilankacrisis politicslk,0.784,1,1.0,5,0.0,3
